Year,Code,Region,Standard_domestic_meters_thousands,E7_domestic_meters_thousands,Domestic_meters_thouasands,Non_domestic_meters_thousands,All_meters_thousands,Standard_domestic_consumption_GWh,E7_domestic_consumption_GWh,Domestic_consumption_GWh,Non_domestic_consumption_GWh,All_consumption_GWh,Standard_domestic_mean_consumption_KWh,E7_domestic_mean_consumption_KWh_per_meter,Domestic_mean_consumption_KWh_per_meter,Non_domestic_mean_consumption_KWh_per_meter,All_mean_consumption_kWh_per_meter,Standard_domestic_median_consumption_kWh_per_meter,E7_domestic_median_consumption_kWh_per_meter,Domestic_median_consumption_kWh_per_meter,Non_domestic_median_consumption_kWh_per_meter,All_median_consumption_kWh_per_meter,Domestic_mean_consumption_kWh_per_household
2024,E12000006,East,2188.219,610.947,2799.166,229.144,3028.31,7349.875175,2792.10751,10141.98269,13491.94708,23633.92977,3358.838935,4570.130486,3623.215874,58879.77466,7804.329731,2520.1,3195.2,2631.8,7410.75,2706.7,3796.318547
2024,E12000007,London,3347.275,381.8,3729.075,390.545,4119.62,10382.30274,1702.402625,12084.70537,22716.01022,34800.71559,3101.717888,4458.88587,3240.671043,58164.89835,8447.554773,2287.9,3304.8,2357.4,5436.4,2423.012295,3302.319296
2024,E13000001,Inner London,1476.252,123.399,1599.651,223.569,1823.22,4305.250547,576.7211277,4881.971675,13371.15969,18253.13137,2916.338503,4673.62886,3051.897992,59807.75372,10011.48044,2071.8,3482.2,2130.9,4988.6,2209.8,3101.673258
2024,E13000002,Outer London,1871.023,258.401,2129.424,166.976,2296.4,6077.052197,1125.681498,7202.733695,9344.850533,16547.58423,3247.983695,4356.335686,3382.479814,55965.23173,7205.880608,2466,3235.3,2533.278596,6019.8,2588.7,3453.753426
2024,E12000008,South East,3522.308,551.908,4074.216,343.86,4418.076,12157.15103,2671.891449,14829.04248,20021.48379,34850.52627,3451.473021,4841.189925,3639.729087,58225.68425,7888.168123,2571.3,3539.5,2660.868689,6881.6,2731.6,3790.904076
2024,E12000009,South West,2342.602,310.966,2653.568,255.989,2909.557,7654.710505,1702.709541,9357.420047,11660.55229,21017.97234,3267.610335,5475.548906,3526.353968,45550.98965,7223.770607,2463.5,4284.75,2575.5,6048.7,2653.2,3697.101774
2024,W92000004,Wales,1359.796,83.495,1443.291,125.598,1568.889,4108.790462,445.0776984,4553.86816,8486.841094,13040.70925,3021.6227,5330.591035,3155.197503,67571.46686,8312.066217,2376.3,3954.6,2422.076,6499.55,2498.4,3273.646302
2024,S92000003,Scotland (inc unallocated),2494.615,308.047,2802.662,217.13,3019.792,7282.659209,1517.407924,8800.067133,12857.18822,21657.25535,2919.351968,4925.897424,3139.895975,59214.24132,7171.770556,2243.1,3582.8,2314.2,7915.8,2392.438653,3447.777659
2024,Unallocated Great Britain,Great Britain (unallocated),17.584,0.589,18.173,18.429,36.602,55.64319812,3.087232419,58.73043054,2836.957039,2895.68747,3164.422095,5241.481187,3231.741074,153939.8252,79112.82088,1721.525,3973.2,1764.5,2383.8,1899.5,
2024,Unallocated England and Wales,England and Wales (unallocated),15.143,0.499,15.642,16.618,32.26,48.45950308,2.617855517,51.07735859,2519.006231,2570.083589,3200.125674,5246.203441,3265.398197,151582.9962,79667.81119,1668.9,3867.8,1711.75,1984.4,1778.45,
2024,Unallocated Scotland,Scotland (unallocated),2.441,0.09,2.531,1.811,4.342,7.183695039,0.469376902,7.653071941,317.9508089,325.6038808,2942.931192,5215.298911,3023.734469,175566.4323,74989.37836,1950.8,4173.35,1978.7,11400.1,2652.45,
